screen_name,id,parent_id,created_at,favorite_count,retweet_count,follower_count,clean_text,polarity,subjectivity,hashtags,location,coordinates
WesterSou,1132448329084702720,,Sun May 26 00:48:16 +0000 2019,1,0,479,riktheozfrog ajganetti tourettetwit paulinehansonoz viellarisr couriermail i am for free speech for anyone and everyone regardless of what they have to say and will stand up for their fight to say it even if i do not like it i am against taxpayers funding a single cent of this period,0.1642857142857143,0.5071428571428571,,From Rural South Australia.,
NerylMcphee,1132445109683834880,,Sun May 26 00:35:28 +0000 2019,0,0,402,riktheozfrog 826maureen tourettetwit paulinehansonoz viellarisr couriermail pallachook has learnt nothing from the federal election she and her cronies doomed at the next election voters do not forget treachery now associating herself with the soros supported scammer gore,0.0,0.0,,,
GrumpyOldBogan,1132443363548880907,,Sun May 26 00:28:32 +0000 2019,1,0,96,riktheozfrog tourettetwit paulinehansonoz viellarisr couriermail yes unless the greens pay for it as a party political campaign and not be allowed to claim a tax deduction as a religious event,0.0,0.175,,"Adelaide, South Australia",
ginadstevens,1132430367573630976,,Sat May 25 23:36:53 +0000 2019,4,2,56,joej2020usa nobody wants a scientific explanation from a dem remember al gore and his global warming warnings,0.1,0.05,,"Baton Rouge, LA",
SimonJaysek,1132429962043043840,,Sat May 25 23:35:17 +0000 2019,6,2,1878,beverleymaxwe15 johnruddick2 brissiemaid the evidence is overwhelming that global warming is an epic scam wake up scottmorrisonmp,0.19999999999999998,0.4666666666666666,,,
MAVERIC22440705,1132447067954065408,,Sun May 26 00:43:15 +0000 2019,0,0,285,simonjaysek beverleymaxwe15 johnruddick2 brissiemaid scottmorrisonmp spew blue the un climate change is a socialist hoax,0.0,0.1,,Bali,
KirkegaardEmil,1132428377535733761,,Sat May 25 23:28:59 +0000 2019,9,1,7732,what if we bred cows to fart less methane how are that for a genomics partial solution to global warming,-0.08888888888888889,0.12222222222222222,,Denmark,
ovchinnikov,1132437286929477632,,Sun May 26 00:04:23 +0000 2019,0,0,124,kirkegaardemil btw cows ruminate not fart,0.0,0.0,,,
petra_doodles,1132427049388388354,,Sat May 25 23:23:42 +0000 2019,10,3,1497,all this lil fairy wants is for humans to wake up about global warming and to plant more trees,0.2333333333333333,0.19999999999999998,,venmo/$petradoodles,
KEVINBARR420Sea,1132426381231394816,,Sat May 25 23:21:03 +0000 2019,4,0,3527,ziggiezaggie deepstateshu mousemeggy lizlibra100 mdrc76maia romey4 bossyladysunday millmangrace mylastsoberduck nottoofondofyou realrandallpink alekslani lilcox2627 dumptytrumpty chrisironhead msevangelynn barbarellaxo steelerschic85 luciarendn4 mackaveli8 fixesitself lovemyjessica22 gkanders tiredoftrump no actually global warming making seattle like la even getting smog we are a big city now,0.0,0.05,,"Tacoma, WA",
BossyLadySunday,1132426529294524417,,Sat May 25 23:21:38 +0000 2019,5,0,12929,kevinbarr420sea ziggiezaggie deepstateshu mousemeggy lizlibra100 mdrc76maia romey4 millmangrace mylastsoberduck nottoofondofyou realrandallpink alekslani lilcox2627 dumptytrumpty chrisironhead msevangelynn barbarellaxo steelerschic85 luciarendn4 mackaveli8 fixesitself lovemyjessica22 gkanders tiredoftrump that sucks i love seattle,0.1,0.44999999999999996,,Six Feet Over Ground,
ananyaUCLA,1132449421394735104,,Sun May 26 00:52:36 +0000 2019,5,0,9651,contests and claims over urban futures is there a role for planning in climate justice and if so what is a plan the always brilliant kiangoh asks in her keynote talk uclauhi salon,0.45,0.5,,"Los Angeles, CA",
impishchimp,1132448051467960321,,Sun May 26 00:47:09 +0000 2019,4,1,2322,except apparently come up with a climate plan or disavow white supremacy or admit trickle down economics was a decades long scam or stop lying or admit you are in the pocket of big oil and a mouthpiece for corporations shall i go on cdnpoli,-0.031111111111111117,0.22777777777777777,cdnpoli,BC Canada,
manny_ottawa,1132446985204719623,,Sun May 26 00:42:55 +0000 2019,32,19,30168,when liberals tax 5b coal exports to china stop dumping bs litres sewage using jets stop importing me oil put climate tariff on china trudeau vacation harrington lake stop immigration from poor areas stop using rail transport oil i will care,-0.4,0.6,,Ottawa Canada,
annedeblois,1132447101663813632,,Sun May 26 00:43:23 +0000 2019,0,0,3008,mannyottawa that will not happen,0.0,0.0,,"Québec, Canada",
AyadeLeon,1132446689233592323,,Sun May 26 00:41:45 +0000 2019,5,1,4806,sidechicknation 1st novel published about hurricane maria comes out 6/25 a month from today naomiklein called it gripping feminist heist fiction about turning the tables on the disaster capitalists in the jaws of climate apocalypse i could not put it down climate crisis,0.17222222222222222,0.6444444444444445,"SIDECHICKNATION, HurricaneMaria, ClimateCrisis",Wakanda,
AyadeLeon,1132449100492750851,,Sun May 26 00:51:20 +0000 2019,0,0,4806,i tweeted the above having crept away for a moment to get wifi on a family camping trip in california beautiful redwoods i love my people i love this planet i wrote this book as a love song to both may this climate crisis push humanity to just solutions for humans+the earth,0.47000000000000003,0.5800000000000001,ClimateCrisis,Wakanda,
