id,created_at,screen_name,clean_text,original_text,favorite_count,retweet_count,follower_count,polarity,subjectivity,hashtags,location
1126765515710451713,Fri May 10 08:26:47 +0000 2019,AlbertoNardelli,italy wants to host cop26 the un climate change summit matteo salvini along with much of his party voted against the paris climate agreement voting data via here,"Italy wants to host Cop26, the UN’s 2020 climate change summit.

Matteo Salvini, along with much of his party, voted against the Paris climate agreement (voting data via @VoteWatchEurope here: https://t.co/JDO8uHyWF0) https://t.co/zwV4IZjwbf",9,16,73387,0.2,0.15000000000000002,,"London, England"
1126765211573075968,Fri May 10 08:25:35 +0000 2019,saoirse_mchugh,i think declaring a climate and biodiversity emergency is a great thing however it can not just be an exercise in pr we need systemic change and for that the conversation needs to be had everywhere all the time,"I think declaring a climate and biodiversity emergency is a great thing. However it cannot just be an exercise in PR. We need systemic change and for that the conversation needs to be had everywhere, all the time....",24,5,1467,0.8,0.75,,Achill island
1126765066953510912,Fri May 10 08:25:00 +0000 2019,timeshighered,i will not have an entirely flightless but i will not travel to the northern hemisphere i will prioritise local and regional conferences and symposia this alone will not save the planet but it will reduce my carbon footprint,"“I will not have an entirely flightless 2019, but I won’t travel to the northern hemisphere. I’ll prioritise local and regional conferences and symposia. This alone won’t save the planet, but it will reduce my carbon footprint.”
https://t.co/pF47f6zjim",6,3,285751,0.0,0.3125,,Global
1126764659187470337,Fri May 10 08:23:23 +0000 2019,nevpierce,when we have finished fighting climate change and fascism can we unify the us and uk mother days cos the difference really is not good for my heart,"When we’ve finished fighting climate change and fascism can we unify the US and UK Mother’s Days, cos the difference really isn’t good for my heart.",11,0,7458,-0.35,0.6000000000000001,,"Bristol, England"
1126764520309809152,Fri May 10 08:22:50 +0000 2019,FlickReynolds,the australia i once knew and was proud ofis all but broken growing disadvantage homelessness public healthcare no action on climate change indefinite detention of people fleeing war we absolutely must elect a new government that will begin to fix this thedrum,"The Australia I once knew &amp; was proud of....is all but broken. Growing disadvantage, homelessness, public healthcare, no action on climate change, indefinite detention of people fleeing war. We absolutely must elect a new government that will begin to fix this. #thedrum",25,17,8491,0.21233766233766233,0.5458874458874459,thedrum,Australia
1126763930833973250,Fri May 10 08:20:30 +0000 2019,JWhiteWildlife,this is the little darling who drew blood today this savage beast is a heath mouse pseudomys shortridgei and are known for their soft gentle demeanour and amazing cuteness hanging on in the they are a major player in our long term fire and climate change research,"This is the little darling who drew blood today. This savage beast is a heath mouse (Pseudomys shortridgei) and are known for their soft gentle demeanour, and amazing cuteness. Hanging on in the @Wild_Gramps they are a major player in our long term fire &amp; climate change research https://t.co/4J9HnMy9Z8",10,5,5369,0.12083333333333335,0.575,,"Deakin University, Australia"
1126763870477963265,Fri May 10 08:20:15 +0000 2019,Thongch34759935,climate change is real if it were real we would not have otherwise sane fully grown men and women chanting this idiotic phrase like the hare krishna people,"""Climate change is real"" 

If it were ""real"" we would not have otherwise sane fully grown men and women chanting this idiotic phrase like the Hare Krishna people. https://t.co/Q7Ruc75ZQq",5,2,1519,-0.08888888888888886,0.47777777777777786,,Thailand
1126763823900184577,Fri May 10 08:20:04 +0000 2019,japan,how is japan able to make the world more resilient to climate change here some insights from the sustainability summit resilient japan,How is Japan able to make the world more resilient to #ClimateChange? Here's some insights from the @TheEconomist's #Sustainability Summit: https://t.co/f7PGU4mkAd #ResilientJapan https://t.co/sjkSR68I7Q,15,2,168160,0.5,0.5625,"ClimateChange, Sustainability, ResilientJapan",
1126763796545003520,Fri May 10 08:19:58 +0000 2019,AnnabelMullin,brilliant to have you peter running for peterborough wonderful news to have someone who grew up in peterborough who wants to reject the lies of the institutional parties who is passionate about fighting climate change and working for the community peterborough by election,"Brilliant to have you, Peter running for Peterborough! Wonderful news to have someone who grew up in Peterborough, who wants to reject the lies of the institutional parties, who is passionate about fighting climate change and working for the community #PeterboroughByElection https://t.co/h145xebh8Y",6,2,4447,0.5125000000000001,0.7375,PeterboroughByElection,London
1126762806148075520,Fri May 10 08:16:01 +0000 2019,rosebud_2,franking credits family trusts who gives a damn get rid of them use the money where it is needed health welfare education ndis climate change etcetc thedrum,"Franking Credits.. family trusts..
who gives a damn. Get rid of them. Use the money where it's needed, health welfare education NDIS climate change  etcetc
#thedrum",14,6,833,0.0,0.0,thedrum,"Sydney, NSW"
1126762457488187392,Fri May 10 08:14:38 +0000 2019,SocDemsLO,as we wake up to hopefully positive news for ireland climate and biodiversity for a change have a read of talking on the environment and climate change policy in this week climate emergency le1 votefor change,"As we wake up to (hopefully) positive news for Ireland's climate and Biodiversity for a change, have a read of @clareclaffey talking on the @SocDems environment and climate change policy, in this week's @MidlandTrib #ClimateEmergency #LE19 #VoteforChange https://t.co/1Zc0uXYclF",5,3,185,0.22727272727272727,0.5454545454545454,"ClimateEmergency, LE19, VoteforChange",Ireland
1126761732133679106,Fri May 10 08:11:45 +0000 2019,Independent,opinion i used to ignore environmental issues but now i am making up for it,Opinion: I used to ignore environmental issues – but now I'm making up for it https://t.co/8429DurF88,9,5,2734961,0.0,0.0,,"London, England"
1126761391132528641,Fri May 10 08:10:24 +0000 2019,Prof_DFrench,climate change scientists test radical ways to fix earth climate it needs lawyers philosophers and social scientists to stop innovation becoming dystopian and problems simply diverted to other areas,"Climate change: Scientists test radical ways to fix Earth's climate / it needs lawyers, philosophers and social scientists to stop innovation becoming dystopian and problems simply diverted to other areas https://t.co/FgbpZk7dPn",6,5,2378,0.08958333333333333,0.412202380952381,,"Lincoln, UK"
1126761358148587521,Fri May 10 08:10:16 +0000 2019,MrDenmore,hard not to conclude that this election is being seen by the global fossil fuel industry and murdoch as their last stand in thwarting effective action on climate change aus vote201,Hard not to conclude that this election is being seen by the global fossil fuel industry and Murdoch as their last stand in thwarting effective action on climate change. #AusVote2019,84,36,16073,0.08166666666666667,0.30166666666666664,AusVote2019,Australia
1126760306942722048,Fri May 10 08:06:06 +0000 2019,RockinRobyn48,i voted yesterday went up to volunteers asked who is labor tnx mate i only want your how to vote sounds of gasps shock and horror was exquisite handed paperwork back after voting waste not want not got to help climate change somehow gave a cheeky smile sooo good,"@Honeputu @strebormt I voted yesterday.  Went up to volunteers, asked who is Labor. Tnx mate. I only want your How to Vote.  Sounds of gasps, shock and horror.  Was exquisite. Handed paperwork back after voting.  Waste not want not. Got to help Climate Change somehow. Gave a cheeky smile. Sooo good.",7,5,256,0.3,0.45,,"Adelaide, South Australia"
1126759977656274947,Fri May 10 08:04:47 +0000 2019,Independent,opinion i used to ignore environmental issues but now i am making up for it,Opinion: I used to ignore environmental issues – but now I'm making up for it https://t.co/77lCPAOGZ9,7,2,2734961,0.0,0.0,,"London, England"
1126759618082795521,Fri May 10 08:03:21 +0000 2019,WinterOakPress,clive pash elains the climate economy is a concept created by members of the davos elite who are worried that in the long term if climate change is not tackled growth itself will be at risk this is the real climate agenda saving capitalism,"Clive L Pash explains the Climate Economy is a concept created by members of the Davos elite, who are worried that “In the long term, if climate change is not tackled, growth itself will be at risk”.

This is the real ""climate"" agenda. Saving capitalism!
 
https://t.co/URt0KhX5sa",6,6,4327,0.07500000000000001,0.35000000000000003,,
1126759108097392640,Fri May 10 08:01:20 +0000 2019,Fridays4FutureP,students of disaster management uni of peshawar says climate change has no mercy we are facing climate breakdown students are fasting and striking for their future climate emergency now schoolstrike4climate,"Students of Disaster Management (Uni of Peshawar) says, Climate change has no mercy, we're facing #ClimateBreakdown. Students are Fasting and striking for their future.#ClimateEmergencyNOW #schoolstrike4climate 
@Fridays4future
@GretaThunberg
@leadpakistan
@atsheikh
@AizazAhmed8 https://t.co/ZVxJCy41BG",8,8,211,0.25,0.5625,"ClimateBreakdown, ClimateEmergencyNOW, schoolstrike4climate",
1126759045237432321,Fri May 10 08:01:05 +0000 2019,alastairmci,"uk government to impose vat rise on solar panels at time of climate emergency fwiw my panels on an ordinary southfacing terraced house in glasgow deliver 3,300 units/annum equal to an average uk home consumption that is what can be done","UK government to impose 15% VAT rise on #solar panels at time of climate emergency. FWIW, my panels on an ordinary south-facing terraced house in Glasgow deliver 3,300 units/annum - equal to an average UK home’s  consumption. That’s what can be done. https://t.co/B1SxjhIE5O",27,19,4925,-0.13333333333333333,0.3833333333333333,solar,Scotland - Hebrides & Govan
1126758905961299969,Fri May 10 08:00:32 +0000 2019,sunnysingh_n6,with a million gbp banked it would be enough nobody in any case is made happier with ludicrous sums of money so the rest would go to fighting climate change caring for refugees and vulnerable women and children and developing intersectional approach to these,"With a million GBP banked, it would be enough. 

Nobody in any case is made happier with ludicrous sums of money. So the rest would go to fighting climate change, caring for refugees, and vulnerable women and children (and developing intersectional approach to these!)",5,0,21347,-0.25,0.5,,"London, England"
1126758904090677248,Fri May 10 08:00:31 +0000 2019,WWFScotland,school children will again be outside the scottish parliament today calling for strong action on climate change youth strike4climate fridays4future,School children will again be outside the Scottish Parliament today calling for strong action on #climate change. #YouthStrike4Climate #Fridays4Future https://t.co/0Qjhd2yYu6,10,1,23447,0.17777777777777778,0.29444444444444445,"climate, YouthStrike4Climate, Fridays4Future","Edinburgh, Scotland"
1126758883286904833,Fri May 10 08:00:26 +0000 2019,JapanGov,how is japan able to make the world more resilient to climate change here some insights from the sustainability summit resilient japan,How is Japan able to make the world more resilient to #ClimateChange? Here's some insights from the @TheEconomist's #Sustainability Summit: https://t.co/Law1q9oZTf #ResilientJapan https://t.co/y5dxZsrttx,14,7,267882,0.5,0.5625,"ClimateChange, Sustainability, ResilientJapan",
1126757543873662976,Fri May 10 07:55:07 +0000 2019,smakelainen,not very well excuse the caps but on any of the metrics that matter we are making zero no less than zero progress in fighting climate change,"NOT VERY WELL. Excuse the caps, but on any of the metrics that matter, we're making zero - no, less than zero - progress in ""fighting"" climate change. https://t.co/0fFuPGUfFn",5,3,3058,-0.02222222222222223,0.13888888888888887,,"Melbourne, Australia"
1126757529323593729,Fri May 10 07:55:03 +0000 2019,smakelainen,people love simple metrics organisations obsess over turning complex issues into a single numeric metric which they can then optimize luckily one of the most complex issues of our time climate change has a good set of two simple metrics let us see how they are doing,"People love simple metrics; organisations obsess over turning complex issues into a single numeric metric which they can then optimize. 

Luckily, one of the most complex issues of our time - climate change - has a good set of two simple metrics  Let's see how they're doing.",6,2,3058,0.15132275132275133,0.47354497354497355,,"Melbourne, Australia"
1126757323622379520,Fri May 10 07:54:14 +0000 2019,stukhan,the first centre in australia to deliver a national response to the impact of climate change on health has been announced with a 15m commitment by alp matt thistlethwaite mp australiavotes auspol,"The first centre in Australia to deliver a national response to the impact of climate change on health has been announced, with a $15M commitment by ALP's Matt Thistlethwaite MP. #australiavotes #auspol https://t.co/hotKwH3x6c https://t.co/rpQbf40ZW2",8,4,2671,0.25,0.3333333333333333,"australiavotes, auspol","Sydney -33.918250, 151.232875 "
1126757103765352448,Fri May 10 07:53:22 +0000 2019,Beany_1,chatting to my sons this morning about cambridge uni new climate change reversal unit hoped to inspire them they say the solution is to make machines that can suck co2 out of the air and store it i point out that is exactly what trees do they say machines would do it better,"Chatting to my sons this morning about Cambridge Uni’s new climate change reversal unit. Hoped to inspire them.
They say the solution is to make machines that can suck CO2 out of the air &amp; store it.
I point out that’s exactly what trees do!
They say machines would do it better
🤦‍♀️",9,3,3423,0.29545454545454547,0.40151515151515155,,
1126756803226656768,Fri May 10 07:52:10 +0000 2019,nishantkumar07,the wealthy founders of quant hedge fund quadrature capital a firm you may have never heard of plan to commit as much as million a year to fight climate change making it one of the most ambitious pledges in the industry story with,"The wealthy founders of quant hedge fund Quadrature Capital (a firm you may have never heard of) plan to commit as much as $100 million a year to fight climate change, making it one of the most ambitious pledges in the industry. Story with @AmberChoudhury…https://t.co/rgi1dBKTEr",5,3,1765,0.25,0.57,,London
1126756347393929216,Fri May 10 07:50:21 +0000 2019,SteveOrmerod,eight eu countries call for of budget to be used to tackle climate change,Eight EU countries call for 25% of budget to be used to tackle climate change https://t.co/yN5GawowqM,5,1,7887,0.0,0.0,,"Cardiff, Wales"
1126755400970149888,Fri May 10 07:46:36 +0000 2019,ExposeMediaBias,shame on for their latest climate change stunt when your carbon taxes increase even more you can blame their virtuesignaling stunt yesterday,Shame on @fiannafailparty for their latest “climate change” stunt. When your (carbon) taxes increase even more you can blame their virtue-signaling stunt yesterday.,10,4,2309,0.5,0.7,,
1126755320879910917,Fri May 10 07:46:17 +0000 2019,margokingston1,frydenberg is still findraing for kooyong votes how much will he spend to buy the seat million vote for action on climate change and an end to this corruption of democracy,"Frydenberg is STILL findraing for #KooyongVotes - how much will he spend to buy the seat, $2 million?

Vote 1 @_Oliver_Yates for action on climate change and an end to this corruption of democracy.

https://t.co/DNNNqIOuqY",38,19,37355,0.15000000000000002,0.15000000000000002,KooyongVotes,
1126753753288200197,Fri May 10 07:40:03 +0000 2019,SafetyPinDaily,trump florida rally highlights white house role in stalling hurricane aid via thinkprogress,Trump Florida rally highlights White House's role in stalling hurricane aid || via: thinkprogress https://t.co/cNe4CmGTHP,8,6,116202,0.0,0.0,,
1126753489671999488,Fri May 10 07:39:00 +0000 2019,remainvoter,greens launch european election campaign 'yes to europe no to climate change remain voter,"Greens launch European election campaign.  'Yes to Europe, No to Climate Change' - #RemainVoter
https://t.co/bzy9EDJyK1",52,11,23279,0.0,0.0,RemainVoter,United
1126753054986866688,Fri May 10 07:37:17 +0000 2019,PochinRos,billion pledged to rebuild notre dame within a week we need a response of similar urgency for climate change the college is certainly attempting to stand up and step forward racs1,1 billion pledged to rebuild Notre Dame within a week. We need a response of similar urgency for climate change . The college is certainly attempting to stand up and step forward #RACS19,5,2,291,0.10714285714285714,0.4857142857142857,RACS19,New Zealand 
1126752134966288384,Fri May 10 07:33:37 +0000 2019,EmmettScanlan,ireland becomes the 2nd country in the world to declare a climate emergency as we enter the 6th mass extinction and climate breakdownwe must take action now we must follow before it is too late be the change,Ireland becomes the 2nd country in the world to declare a climate emergency as we enter the 6th mass extinction &amp; climate breakdown...We must take action now. We must follow. Before it’s too late. Be the change. https://t.co/mTa9WSlBMu,20,2,250868,-0.06666666666666667,0.2333333333333333,,www.imdb.me/emmett-j-scanlan
1126751830950604800,Fri May 10 07:32:25 +0000 2019,ARYNEWSOFFICIAL,in a bid to protect the environment minister of state for climate change zartaj gul has said that the government would impose ban on singleuse plastic bags in islamabad by august ary news islamabad plastic bags,"In a bid to protect the environment, Minister of State for Climate Change Zartaj Gul has said that the government would impose ban on single-use plastic bags in Islamabad by August 14.
#ARYNews #Islamabad #PlasticBags",101,11,1825850,0.0,0.0,"ARYNews, Islamabad, PlasticBags","Karachi,Pakistan"
1126751276413308929,Fri May 10 07:30:12 +0000 2019,summerserino,sadly refusing plastic straws is not enough to save the planet our society is so unaware of the monumental changes we desperately need to make to actually start reversing the effects of climate change,"Sadly, refusing plastic straws isn’t enough to save the planet. Our society is so unaware of the monumental changes we desperately need to make to actually start reversing the effects of climate change. 😪 https://t.co/9p6ApwJzl9",5,0,320,-0.22000000000000003,0.62,,"Mammoth Lakes, CA"
1126750988453404672,Fri May 10 07:29:04 +0000 2019,NickCowern,ed davey lib dem former energy and climate change minister the world most dangerous criminals want brexit to go ahead among them big coal oil and gas executives here one of their apologists in the house of lords,"Ed Davey, Lib Dem former energy and climate change minister: 
“The world’s most dangerous criminals want Brexit to go ahead"". 

Among them, big coal, oil and gas executives.

Here's one of their apologists in the House of Lords.

https://t.co/t1KRIkwHHW

https://t.co/cD9CTy8ZDL",7,10,3389,-0.024999999999999994,0.375,,
1126750854529241088,Fri May 10 07:28:32 +0000 2019,TheEVside,what a bunch of morons they do nothing about climate change and nothing to embrace renewables oil companies still get huge payouts from government shame on you,"@FullyChargedDan What a bunch of morons , they do nothing about climate change and nothing to embrace renewables, oil companies still get huge payouts from government @10DowningStreet shame on you!",9,3,1191,-0.19999999999999998,0.95,,UK
1126750272011653120,Fri May 10 07:26:13 +0000 2019,the__chez,there has a lot being said about the national grid breaking its coalfree energy record but not a lot is being said about the government turn to plant biomass which some eerts believe is equally destructive in the fight against climate change,"There's a lot being said about the National Grid breaking its coal-free energy record. But not a lot is being said about the government's turn to plant biomass, which some experts believe is equally destructive in the fight against climate change: https://t.co/i12WdLlTEr",8,9,3924,-0.6,0.6,,"heart in Hull, body in London"
1126749414070951937,Fri May 10 07:22:48 +0000 2019,Cyclistie,il agrees to take urgent action as it declares climate emergency mr bruton is eected to announce his climate action plan this month in which he will outline measures to mitigate climate change in transport energy and agriculture allocate4cycling,"Dáil agrees to take urgent action as it declares climate emergency. Mr Bruton is expected to announce his climate action plan this month, in which he will outline measures to mitigate climate change in transport, energy and agriculture. #Allocate4Cycling

https://t.co/c8cszM7Adn",7,3,4503,0.1,0.1,Allocate4Cycling,Island of Ireland
1126749211393847296,Fri May 10 07:22:00 +0000 2019,SEIresearch,oppo apply by may,"OPPORTUNITY (Bangkok, Thailand)

We're looking for a strong communicator and collaborator to design and execute research projects on development and climate change adaptation issues.

Details: https://t.co/utWqTsCO0Q
Apply by 30 May",5,7,29293,0.0,0.0,,International — 8 centres
1126749179777245184,Fri May 10 07:21:53 +0000 2019,JenniferMClarke,environment canada former employee reveals the data manipulation that the gov't does to keep up the c02related climate change narrative,Environment Canada’s Former Employee reveals the Data Manipulation that the Gov’t does to keep up the C02-related Climate Change narrative.... https://t.co/Ws2U1GOmwN,6,5,3018,0.0,0.0,,"Nanaimo, British Columbia"
1126748981503987712,Fri May 10 07:21:05 +0000 2019,KarenKenny9,interesting are academic conferences an anachronism dreamt up by the elite in an age when one did not consider the environment we need to talk about climate change via,"Interesting - are academic conferences an anachronism, dreamt up by the elite in an age when one didn't consider the environment? We need to talk about climate change https://t.co/SXvBTJe0YR via @timeshighered",8,4,122,0.25,0.25,,"Exeter, Devon, UK"
1126748826541232133,Fri May 10 07:20:28 +0000 2019,FaithVictoryRW,through flow project fva in partnership with had a joint visit at ruheru selling point for provisional reception the aim is to empower women smallholder farmers to adapt climate change effectsandreduce postharvest lossesandalso enable them to improve food security,"Through #FLOWProject, #FVA in Partnership with @actionaidrwanda had a joint visit at Ruheru selling point for Provisional reception,the aim is to empower women smallholder farmers to adapt climate change effects&amp;reduce postharvest losses&amp;also enable them to improve food security. https://t.co/RsxAzpvCW4",7,3,870,0.0,0.0,"FLOWProject, FVA",
1126748711952850944,Fri May 10 07:20:01 +0000 2019,HoolyMcg,shorten releases costings climate change budget costings nada zilch do not trust the prick,"Shorten releases costings.  Climate change budget costings ? Nada ,Zilch 🍩🍩🍩🍩🍩.  Don’t trust the prick.",7,2,1210,0.0,0.0,,Wyening 
1126748662279749632,Fri May 10 07:19:49 +0000 2019,HarmonHilary1,this is hugely welcome ireland is one of the worst countries in europe at preventing climate change we need to invest in decarbonisation and low carbon technologies as said the house is on fire we need action now,This is hugely welcome. Ireland is one of the worst countries in Europe at preventing Climate Change. We need to invest in decarbonisation and low carbon technologies. As @GretaThunberg said ‘the house is on fire’ we need action now. https://t.co/JovheMUUxi,5,0,423,-0.024999999999999988,0.575,,"Dublin City, Ireland"
1126748540724596737,Fri May 10 07:19:20 +0000 2019,XRBristol,although parliament declared a climate emergency earlier this month materials for some renewables will see tax rises of per cent tell the truth means words backed up by action we will keep rebelling until our demands are met meaningfully,"""Although parliament declared a climate emergency earlier this month... materials for some renewables will see tax rises of 15 per cent.""
#TellTheTruth means words backed up by action. We will keep rebelling until our 3 demands are met meaningfully https://t.co/vC0BabVHL2",21,10,3309,0.19999999999999998,0.3666666666666667,TellTheTruth,"Bristol, England"
1126748323375747073,Fri May 10 07:18:28 +0000 2019,resophonick,in an era when solar panels should be a mandatory requirement on new builds we are instead slapping vat on them ridiculous huge vat rise on solar panels makes installation entirely uneconomic say eerts,"In an era when solar panels should be a mandatory requirement on new builds we are instead slapping 20% VAT on them! Ridiculous.

Huge VAT rise on solar panels makes installation ‘entirely uneconomic’, say experts https://t.co/koOEVP6eMG",12,11,2072,0.05075757575757578,0.7448863636363636,,"Cheshire,UK"
1126748207709425665,Fri May 10 07:18:01 +0000 2019,timeshighered,we need to talk about climate change international conferences are a huge boon to academics but is increasingly unsure if they are worth the huge carbon footprint,"We need to talk about climate change: international conferences are a huge boon to academics, but @JoannaKidman is increasingly unsure if they are worth the huge carbon footprint 
https://t.co/pF47f6zjim https://t.co/vO20uTvDb5",18,11,285751,0.275,0.475,,Global
